Block number, timestamp, reserve A, reserve B, price
7875774,1665609949,3560570.481556,65880472.318464,18.50278562374467
7875774,1665609949,3573554.189545,66120707.08399,18.502785623745854
7875787,1665610206,3558310.515507,65922440.448296,18.52633157252808
7875791,1665610293,3459680.4716,67807440.448296,19.599336125089337
7875793,1665610311,3470678.2716,67593216.628791,19.475506324482847
7875809,1665610625,3471178.2716,67583509.483144,19.469904509396503
7875829,1665611108,3471183.2716,67583412.42581,19.469848503463847
7875853,1665611910,3472683.2716,67554307.806601,19.453057628107878
7875854,1665611930,3428148.21484,66568743.536088,19.4182804722155
7875863,1665612079,3428120.706749,66569279.307523,19.418592576529445
7875869,1665612230,3448120.706749,66184311.772934,19.194314063133454
7875899,1665612873,3448173.206749,66183307.109801,19.193730460019385
7876005,1665615161,3448226.206749,66182292.909432,19.193141325791647
7876014,1665615338,3455326.206749,66182292.909432,19.153703282822807
7876089,1665616918,3468912.864338,66442527.717497,19.153703282822804
7876118,1665617491,3469112.864338,66438708.688588,19.151498174524306
7876148,1665617948,3464598.238492,66525543.708433,19.20151750045018
7876155,1665618117,3465498.933389,66508305.35176,19.191552682637774
7876193,1665618960,3465618.736808,66510604.565387,19.191552682637685
7876290,1665620982,3479941.736807,66785485.17446,19.19155268264308
7876498,1665625481,3479993.843065,66786485.174455,19.191552682642936
7876551,1665626566,3462243.36291,67129921.274455,19.38913999911104
7876655,1665628306,3462191.546223,67128916.593448,19.389139999108593
7876661,1665628463,3462139.885757,67129921.274455,19.389719505737702
7876723,1665629433,3467297.257939,67229921.27445,19.389719505737506
7876797,1665630624,3471297.257939,67152683.909578,19.345126308614752
7876824,1665631279,3472297.257939,67133402.356552,19.334002065364466
7876872,1665632250,3472535.874199,67128803.104623,19.33134905916772
7876970,1665634297,3472525.19836,67129010.104635,19.331468101754485
7876981,1665634679,3472508.179043,67129340.104635,19.331657880539648
7877081,1665636879,3473027.098784,67119340.110354,19.32589012445491
7877117,1665637836,3474325.076202,67094340.110354,19.31147449901233
7877127,1665638018,3474263.124503,67095540.110354,19.312164250642976
7877160,1665638611,3474463.124503,67091689.485804,19.309944322808445
7877188,1665639245,3484463.124503,66899720.198327,19.199434118812526
7877263,1665641126,3486963.124503,66851899.815578,19.17195491567077
7877270,1665641376,3487013.124503,66850944.107289,19.1714059340735
7877290,1665641774,3487063.124503,66849988.426366,19.17085697606748
7877328,1665642553,3487253.522839,66846349.475492,19.16876677812397
7877335,1665642700,3487388.022839,66843779.109797,19.167290439731758
7877346,1665642840,3502215.843181,67127988.24888,19.16729043973168
7877457,1665645023,3502345.843181,67125504.068301,19.165869698160467
7877633,1665648259,3503392.816763,67105504.068301,19.15443331025149
7877635,1665648336,3503542.816763,67102639.645074,19.152795657017716
7877725,1665650046,3503702.816763,67099584.530214,19.15104905849462
7877795,1665651866,3506751.816763,67041418.621694,19.11781104702709
7878009,1665656370,3507509.569341,67026978.621694,19.10956400734416
7878088,1665658032,3510809.569341,66964165.165179,19.07371044842759
7878118,1665658718,3508311.733327,67011985.547928,19.100921081599335
7878127,1665659022,3508102.960009,67015985.547928,19.103198028075
7878186,1665659925,3502891.691403,67115985.547928,19.160165788924605
7878316,1665662509,3499772.519845,67175982.647928,19.1943854256285
7878397,1665664186,3499872.519845,67174069.022216,19.19329022452251
7878425,1665664739,3499990.314042,67171815.022216,19.192000261464134
7878590,1665668248,3499875.917814,67169619.529763,19.192000261459757
7878610,1665668883,3499975.917814,67167706.141844,19.190905228798066
7878613,1665668945,3495824.159712,67247716.795964,19.23658448584672
7878661,1665669679,3495879.159712,67246661.9744,19.235980107487457
7878713,1665670870,3495933.909995,67245611.974967,19.23537850149552
7878714,1665670926,3496586.638584,67233096.48971,19.228208375507933
7878720,1665671074,3497486.638584,67215847.444814,19.218328585817602
7878729,1665671250,3494145.096746,67280321.129054,19.2551594928643
7878744,1665671488,3493096.783708,67260135.694301,19.255159492862052
7878747,1665671603,3493396.783708,67254376.969194,19.25185747088486
7878782,1665672404,3495916.783708,67206042.594341,19.224153992320673
7878836,1665673719,3498916.783708,67148592.302472,19.1912515939607
7878838,1665673747,3499136.783708,67144383.157211,19.188842079519617
7878868,1665674362,3499211.783708,67142948.342206,19.188020757936755
7878873,1665674444,3496747.729077,67190404.358721,19.215113461003533
7879015,1665677108,3496795.961584,67189480.358721,19.214584178450348
7879060,1665678074,3496805.961584,67189672.504562,19.214584178450124
7879107,1665679008,3496885.961584,67188139.984284,19.213706343986548
7879122,1665679387,3496985.961584,67186224.432376,19.212609135537743
7879128,1665679521,3497508.358092,67176219.432376,19.206878884779197
7879199,1665681325,3497887.358092,67168962.647507,19.202723178640547
7879242,1665682168,3497962.358092,67167526.794576,19.201900969344116
7879269,1665682731,3498102.358092,67164846.70025,19.20036632000794
7879269,1665682731,3498002.358092,67166761.031496,19.2014624793256
7879366,1665684837,3503334.053109,67064846.70025,19.143149263980106
7879385,1665685172,3503278.327649,67063779.939435,19.14314926397542
